	log_likelihood
0	30233.51
1	30643.879
2	30869.89
3	30289.713
4	30773.037
5	30611.729
6	30348.73
7	30705.621
8	30572.338
9	31112.34
10	30268.807
11	30782.709
12	31175.203
13	30302.895
14	30461.348
15	30875.63
16	30877.762
17	31023.598
18	30607.516
19	30652.807
20	30568.318
21	30825.537
22	30816.084
23	31177.934
24	30828.152
25	30609.422
26	30757.568
27	30615.012
28	30630.719
29	30081.229
30	30861.031
31	30216.209
32	30733.15
33	30311.25
34	30531.262
35	31008.59
36	30879.223
37	30739.834
38	30977.744
39	31236.527
40	30895.285
41	30633.912
42	30504.646
43	31128.738
44	30732.02
45	30974.957
46	30638.006
47	30730.512
48	30635.65
49	31040.547
50	30763.543
51	30790.635
52	30033.348
53	31095.65
54	30702.324
55	30896.266
56	30897.104
57	31130.838
58	30956.512
59	30673.744
60	30855.396
61	30904.906
62	30654.785
63	30943.234
64	30910.781
65	30885.557
66	30602.676
67	30620.0
68	30739.25
69	31076.824
70	30819.8
71	30769.797
72	30577.582
73	31038.541
74	30631.855
75	30987.828
76	31011.068
77	30297.906
78	31037.793
79	30446.693
80	30624.969
81	30661.285
82	30572.188
83	30701.738
84	30739.996
85	31005.338
86	30791.828
87	30783.402
88	30802.723
89	30823.229
90	30652.777
91	30943.988
92	30779.803
93	30732.35
94	30415.902
95	30769.193
96	30313.988
97	30627.043
98	30787.834
99	30081.395
100	30583.434
101	30651.434
102	30629.887
103	30531.709
104	30767.13
105	30887.688
106	30675.875
107	30860.678
108	30995.1
109	31128.012
110	30909.738
111	30590.621
112	30626.66
113	30578.088
114	30932.87
115	30308.562
116	31206.791
117	30928.041
118	30838.645
119	30947.197
120	30718.066
121	31244.088
122	30550.072
123	30684.402
124	30982.832
125	30721.656
126	30743.922
127	30097.52
128	30811.562
129	30805.896
130	30304.13
131	30454.209
132	30648.146
133	30783.88
134	30472.824
135	31068.41
136	30216.729
137	30233.812
138	30491.129
139	30687.312
140	30603.975
141	30796.209
142	30978.23
143	30648.365
144	30614.072
145	31000.275
146	30923.406
147	31078.91
148	30872.89
149	30647.355
150	30995.969
151	30689.828
152	30762.068
153	30657.02
154	30346.895
155	30708.582
156	30565.521
157	30952.875
158	30744.402
159	30555.166
160	30522.303
161	29899.5
162	30839.162
163	30451.494
164	30914.941
165	30642.771
166	30769.645
167	30957.973
168	30644.762
169	30777.947
170	30870.322
171	30535.078
172	30787.418
173	30813.74
174	30833.084
175	30964.15
176	30746.162
177	30626.043
178	30988.525
179	30384.432
180	30559.041
181	31043.668
182	31073.322
183	30444.068
184	30778.082
185	30501.256
186	30293.365
187	30839.443
188	30718.246
189	30209.459
190	31092.863
191	30604.062
192	30786.037
193	30908.2
194	30619.24
195	30843.535
196	30845.66
197	30968.629
198	30483.02
199	30893.35
200	30554.266
201	30867.969
202	30952.957
203	30646.316
204	30658.402
205	30312.713
206	30751.666
207	30733.275
208	30715.213
209	30611.494
210	30893.855
211	30888.025
212	30629.443
213	30595.8
214	29851.91
215	31027.035
216	30012.475
217	30278.922
218	30435.713
219	30713.016
220	30548.637
221	31246.629
222	30529.291
223	30565.215
224	30524.6
225	30679.713
226	30998.95
227	30492.37
228	30770.645
229	30478.012
230	30411.074
231	30730.291
232	30486.963
233	31028.344
234	30463.656
235	30611.344
236	30883.197
237	30888.975
238	30893.8
239	30671.55
240	30730.793
241	30754.457
242	30709.86
243	30403.572
244	30682.104
245	30980.906
246	30909.537
247	30547.816
248	30912.713
249	30751.182
250	30615.543
251	30897.715
252	30211.77
253	30302.812
254	30528.625
255	30780.355
256	30334.115
257	30819.902
258	30405.432
259	31064.928
260	30365.87
261	30698.838
262	30614.084
263	30644.459
264	30687.85
265	30410.256
266	30391.947
267	30637.23
268	30571.098
269	30528.475
270	30795.793
271	30766.934
272	30857.85
273	30614.854
274	30225.39
275	30713.324
276	29686.973
277	30845.496
278	30066.55
279	30203.816
280	30471.521
281	30750.053
282	30687.01
283	30876.2
284	30378.947
285	30898.262
286	30412.05
287	30665.86
288	31144.135
289	30767.996
290	30752.494
291	30298.006
292	30756.25
293	30261.865
294	30755.303
295	30539.787
296	30742.137
297	30079.05
298	30633.678
299	30769.668
300	30169.588
301	29839.418
302	30357.059
303	30840.246
304	30705.506
305	30919.234
306	30593.025
307	30665.934
308	30854.188
309	30673.824
310	31103.771
311	31068.285
312	30249.865
313	30385.0
314	30570.104
315	30307.938
316	30642.547
317	31081.957
318	30260.703
319	30702.312
320	30375.104
321	30688.41
322	30309.34
323	30553.723
324	30891.188
325	30487.676
326	30840.934
327	30906.459
328	30506.113
329	30101.443
330	30591.395
331	31084.797
332	30473.678
333	30822.234
334	30709.506
335	30931.021
336	30144.84
337	30373.965
338	30754.428
339	30895.785
340	30638.875
341	30729.312
342	30718.709
343	30561.746
344	30373.316
345	30655.287
346	30258.463
347	30547.135
348	30977.434
349	30816.525
350	30688.684
351	30459.293
