	z_coordinate_0	z_coordinate_1
0	-3.4341063	-6.021711
1	-2.0533276	-3.8609755
2	-1.1379085	-4.314125
3	-2.4325964	-5.3261294
4	-2.1961582	-3.5272243
5	-2.3453643	-3.5898547
6	-2.5272744	-3.4865024
7	-1.9153864	-5.1739116
8	-2.2771363	-3.20733
9	-1.178932	-3.9718845
10	-2.292264	-3.4306574
11	-2.2616634	-4.022877
12	-2.088766	-4.4188905
13	-2.1976483	-3.0191922
14	-2.317381	-3.9798887
15	-1.3594317	-5.36815
16	-2.1523774	-3.498154
17	-2.1486595	-4.645574
18	-2.3076923	-4.9918556
19	-2.1404963	-3.8347905
20	-2.0707533	-3.8288505
21	-2.1140308	-3.9049141
22	-2.1930466	-4.279947
23	-1.8893147	-4.546024
24	-0.9230968	-5.894649
25	-2.108998	-3.5665584
26	-2.1887593	-4.438515
27	-2.079211	-3.252266
28	-2.2833776	-4.8787007
29	-1.6303912	-2.5422595
30	-1.829313	-4.435101
31	-2.2565703	-3.955918
32	-2.086315	-5.167133
33	-2.1512992	-4.564587
34	-2.3773904	-4.0310783
35	-4.0104947	-4.9301147
36	-2.233149	-4.597809
37	-2.1529655	-3.6482437
38	-2.354588	-4.526337
39	-1.7050773	-4.303251
40	-2.3646235	-4.382157
41	-1.7393796	-4.1746726
42	-2.1216853	-4.414493
43	-1.4954445	-4.6545243
44	-2.2888994	-4.0350223
45	-1.7044795	-3.331393
46	-2.3790445	-4.5614686
47	-1.912378	-3.57197
48	-2.3175201	-4.046641
49	-1.3309939	-4.3208423
50	-2.2826185	-4.617335
51	-2.032143	-4.8310704
52	-0.48608565	-3.6635492
53	-2.1356847	-4.041798
54	-2.3137875	-4.911901
55	-2.207836	-4.3703756
56	-1.926249	-4.3817544
57	0.2346957	-1.9006459
58	-1.8175375	-4.6441746
59	-2.2543929	-3.7458596
60	-2.2123225	-4.405748
61	-1.8518643	-4.4526415
62	-2.0941823	-4.2115774
63	-1.6217153	-3.7773645
64	-1.8940516	-4.755081
65	-2.0592735	-4.6065006
66	-2.1522558	-3.7159326
67	-2.2572014	-3.3548214
68	-2.2374694	-3.6235394
69	-2.3124168	-4.5070534
70	-2.252088	-4.8201327
71	-2.1082919	-3.2904956
72	-1.4252591	-4.114785
73	-1.8782744	-4.5685363
74	-2.3333504	-3.4997694
75	-2.0923848	-4.242583
76	-4.358013	-6.950407
77	-2.1875684	-5.1957817
78	-1.5308255	-3.6860442
79	-2.1966395	-4.832256
80	-2.2331274	-3.556152
81	-2.2690516	-3.601339
82	-2.2196424	-3.5376608
83	-2.0622506	-5.078432
84	-2.098355	-4.667887
85	-2.0022783	-3.97313
86	-2.3653321	-5.0250444
87	-1.9987583	-4.5117216
88	-2.0737476	-4.1234016
89	-1.4849646	-4.327276
90	-2.6192927	-5.0002522
91	-2.1431804	-5.2256126
92	-2.1240335	-4.092249
93	-2.2316785	-4.356131
94	-2.897049	-4.981917
95	-2.3071856	-3.778117
96	-1.4039329	-4.6499896
97	-2.5256329	-4.4436707
98	-2.2650495	-4.1435866
99	-2.2183275	-3.7741282
100	-2.3273823	-4.078959
101	-2.5606785	-3.683065
102	-2.1280077	-4.895328
103	-1.9960239	-3.533766
104	-1.0780901	-3.7973678
105	-2.0349894	-4.0678635
106	-10.241301	-7.230408
107	-1.3132513	-4.365971
108	-0.82407516	-2.9568765
109	-1.7811254	-4.7231727
110	-1.9626805	-4.373719
111	-2.3805232	-4.4565
112	-1.9706497	-5.005749
113	-2.1041536	-4.1708293
114	-3.43105	-4.744012
115	-2.308865	-3.2504394
116	-1.2099936	-4.1473613
117	-1.763689	-3.5277522
118	-2.242971	-4.3425226
119	-2.361328	-4.594697
120	-2.1891553	-4.66449
121	-1.7469039	-4.415383
122	-2.4869266	-3.4390872
123	-1.9313207	-4.5009456
124	-2.1041608	-3.577401
125	-2.4190602	-4.471085
126	-2.225879	-4.018986
127	-2.3280747	-4.6813116
128	-2.4268541	-3.7430356
129	-1.4105129	-4.481858
130	-2.1951246	-3.3904257
131	-1.1051772	-3.4042776
132	-1.8103452	-4.7099795
133	-2.1790986	-3.6455638
134	-2.1478548	-3.39831
135	-1.3739562	-4.4412265
136	-2.2129521	-5.7911315
137	-1.3550713	-4.940923
138	-2.0906756	-3.5362413
139	-2.2069783	-3.5770063
140	-2.35026	-4.1544557
141	-2.1292243	-4.5269275
142	-2.1003275	-3.8692982
143	-1.4363647	-4.379229
144	-2.331503	-3.2720244
145	-1.504864	-4.9625444
146	-1.795368	-4.763518
147	-1.7992159	-4.3111477
148	-2.17806	-3.6713417
149	-1.8573843	-7.376339
150	-0.91721976	-4.0944514
151	-2.1242404	-4.212052
152	-1.8995954	-4.286079
153	-2.427195	-4.7581134
154	-2.1901789	-3.2915366
155	-2.0687373	-4.3610563
156	-2.3840065	-3.6802614
157	-0.37280494	-2.4593718
158	-2.3479404	-4.8772893
159	-2.145594	-3.825589
160	-1.321293	-3.8649733
161	-2.3420677	-4.4888673
162	-1.9557557	-4.041764
163	-1.6435394	-3.628277
164	-0.6448077	-4.581038
165	-2.0203385	-3.1503541
166	-1.5973501	-3.271776
167	-2.0262198	-4.498498
168	-2.0743964	-3.8088748
169	-2.0409422	-4.595546
