	log_likelihood
0	15603.839
1	16472.246
2	16384.436
3	15707.881
4	16587.293
5	16537.309
6	16529.73
7	16165.236
8	16319.221
9	16465.793
10	16341.591
11	16655.688
12	16697.238
13	15998.245
14	16263.01
15	16183.844
16	16580.52
17	16696.615
18	16022.764
19	16576.918
20	16489.488
21	16544.361
22	16399.465
23	16732.723
24	16339.244
25	16302.959
26	16716.041
27	16334.432
28	16177.528
29	15314.764
30	16490.607
31	16358.725
32	15906.987
33	16398.994
34	16259.859
35	15966.456
36	16657.148
37	16559.678
38	16413.223
39	16663.879
40	16542.604
41	16301.955
42	16492.031
43	16552.643
44	16468.834
45	16427.184
46	16497.566
47	16448.715
48	16697.2
49	16365.023
50	16584.412
51	16365.025
52	15285.447
53	16741.48
54	16413.43
55	16652.719
56	16629.8
57	16280.615
58	16180.94
59	16499.26
60	16584.973
61	16758.854
62	16491.213
63	16526.887
64	16347.2705
65	16647.588
66	16209.5205
67	16434.938
68	16644.465
69	16573.105
70	16556.28
71	16378.838
72	16252.547
73	16576.932
74	16607.996
75	16626.584
76	15329.703
77	15803.472
78	16499.432
79	16416.277
80	16458.152
81	16555.57
82	16455.703
83	16113.717
84	16377.966
85	16662.63
86	16219.25
87	16403.316
88	16666.842
89	16512.475
90	16098.0625
91	16075.456
92	16575.285
93	16614.893
94	15861.141
95	16545.62
96	16055.615
97	16276.977
98	16776.504
99	16104.143
100	16595.99
101	16697.0
102	16347.775
103	16598.148
104	16124.111
105	16551.371
106	15509.4375
107	16427.832
108	16305.185
109	16547.584
110	16625.395
111	16429.932
112	15936.158
113	16556.379
114	16215.291
115	16441.205
116	16542.893
117	16286.724
118	16484.113
119	16577.234
120	16458.371
121	16701.652
122	16196.606
123	16569.756
124	16632.182
125	16591.62
126	16668.113
127	15741.56
128	16622.166
129	16448.23
130	16325.922
131	15859.51
132	16531.178
133	16598.465
134	16136.464
135	16516.775
136	16062.01
137	15966.166
138	16319.8
139	16683.623
140	16510.38
141	16434.379
142	16529.557
143	16368.619
144	16339.74
145	16606.367
146	16515.504
147	16605.16
148	16625.957
149	15305.443
150	16190.408
151	16447.867
152	16379.006
153	16371.547
154	16343.244
155	16425.152
156	16498.266
157	16289.367
158	16514.895
159	16604.152
160	16257.503
161	15894.442
162	16410.598
163	16330.042
164	16372.461
165	16244.15
166	15988.412
167	16568.51
168	16594.463
169	16618.668
170	16742.748
171	16251.526
172	16693.043
173	16407.35
174	16517.078
175	16610.45
176	16405.186
177	16452.793
178	16525.062
179	16049.164
180	16314.162
181	16516.248
182	16521.39
183	16561.527
184	16554.324
185	16466.777
186	16346.625
187	16532.918
188	16477.531
189	15840.281
190	16457.633
191	16463.225
192	16599.84
193	16500.432
194	16503.818
195	16276.932
196	16543.633
197	16649.773
198	16590.877
199	16490.438
200	16463.223
201	16503.22
202	16315.781
203	16365.596
204	16338.471
205	16086.547
206	16392.752
207	16643.09
208	16351.849
209	16303.432
210	16415.162
211	16463.793
212	16800.719
213	16755.715
214	15664.703
215	16567.139
216	16172.162
217	16550.723
218	16344.537
219	16512.822
220	16419.912
221	15881.245
222	16472.39
223	16562.928
224	16379.859
225	16448.066
226	16506.555
227	16440.66
228	16735.494
229	16329.248
230	16164.534
231	16420.967
232	16451.29
233	16536.416
234	16347.299
235	16428.559
236	16414.518
237	16737.887
238	16641.615
239	16542.996
240	16538.072
241	16361.153
242	16594.719
243	16536.91
244	16300.6
245	16510.11
246	16554.488
247	16369.705
248	16535.207
249	16193.411
250	16610.01
251	16443.803
252	16194.567
253	16476.006
254	16479.809
255	16028.183
256	16250.885
257	16834.078
258	16371.076
259	16445.521
260	16168.198
261	16389.445
262	15534.987
263	16312.4375
264	15976.737
265	16481.463
266	16172.115
267	16492.781
268	16381.425
269	16532.053
270	16116.365
271	16668.113
272	16499.441
273	16536.027
274	16050.219
275	16349.081
276	15647.258
277	16580.906
278	16135.225
279	16323.248
280	16270.125
281	16556.617
282	16575.305
283	16622.73
284	16026.525
285	16420.77
286	15899.222
287	16395.582
288	16718.553
289	16316.169
290	16671.738
291	16259.088
292	16510.832
293	16234.859
294	16418.688
295	16590.898
296	16713.973
297	16227.611
298	16634.068
299	16649.53
300	16162.112
301	16039.208
302	16392.652
303	16616.682
304	16686.148
305	16369.381
306	16272.221
307	16638.94
308	16497.309
309	16474.656
310	16543.152
311	16697.809
312	16207.974
313	16389.984
314	16208.893
315	16260.094
316	16278.297
317	16498.93
318	16193.279
319	16612.262
320	16347.482
321	16637.547
322	16432.105
323	16496.578
324	16513.871
325	15947.144
326	16777.361
327	16205.291
328	16348.513
329	15962.737
330	16413.98
331	16330.623
332	16055.385
333	16665.068
334	16440.648
335	16456.754
336	16376.469
337	16474.66
338	16477.955
339	16463.637
340	16318.948
341	16562.965
342	16208.984
343	16423.934
344	16101.847
345	16418.473
346	16437.904
347	16468.242
348	16633.574
349	16560.738
350	16481.855
351	16261.831
352	16383.125
353	15610.959
354	16543.102
355	16258.15
356	16329.756
357	16549.14
358	16200.016
359	16615.975
360	16600.61
361	16566.643
362	16283.864
363	16649.498
364	16036.139
365	16445.959
366	16517.402
367	16277.305
368	16409.652
369	16617.09
370	16478.635
371	16530.465
372	16347.219
373	16552.748
374	16261.023
375	16422.75
376	16439.988
377	16404.346
378	16434.863
379	16337.854
380	16147.451
381	16629.332
382	16489.012
383	16546.514
384	16151.695
385	15977.3955
386	16466.363
387	16564.822
388	16556.266
389	16345.8545
390	16525.62
391	16758.578
392	16478.496
393	16552.494
394	16445.965
395	16317.761
396	16721.672
397	16337.56
398	16211.341
399	16407.252
400	16610.855
401	16650.375
402	16522.566
403	16221.513
404	15952.094
405	16623.95
406	16249.943
407	15949.002
408	16559.95
409	16643.35
410	16461.176
411	16513.02
412	16457.707
413	16574.074
414	16280.981
415	16215.635
416	16345.564
417	16696.95
418	16100.7
419	16623.422
420	16374.586
421	16328.07
422	16598.615
423	16594.764
424	16789.484
425	16582.816
426	16433.8
427	16414.559
428	16463.377
429	16363.531
430	16142.588
431	15885.95
432	16186.047
433	16461.209
434	16472.77
435	16159.057
436	16659.926
437	15799.964
438	16462.963
439	16265.154
440	16190.041
441	16646.61
442	16039.742
443	16169.263
444	16262.6875
445	15826.083
446	15958.067
447	15966.138
448	15977.217
449	15587.089
450	15979.604
451	16355.138
452	15846.611
453	16494.262
454	15969.747
455	15459.541
456	16055.234
457	16448.41
458	16407.988
459	15914.052
460	16377.753
461	16195.739
462	15807.734
463	16337.115
464	16418.883
465	16274.26
466	16032.159
467	16145.278
468	15061.227
469	16368.122
470	15639.097
471	16081.477
472	16112.347
473	16405.703
474	16425.604
475	16207.513
476	16255.107
477	16298.752
478	16370.898
479	16155.414
480	16134.078
481	16501.727
482	15979.911
483	16244.925
484	16394.412
485	16186.781
486	15995.607
487	16419.807
488	16266.3
489	15709.026
490	16008.13
491	16176.722
492	16361.131
493	16511.287
494	16186.951
495	16401.143
496	16293.1455
497	16201.172
498	16520.695
499	16233.487
500	15824.873
501	16368.981
502	15896.427
503	16225.286
504	15654.193
505	15773.484
506	15851.424
507	16355.261
508	16083.791
509	16228.375
510	15630.521
511	16538.988
512	15902.799
513	16168.148
514	16206.519
515	15823.627
516	16133.323
517	16227.044
518	15831.049
519	16140.631
520	15596.432
521	16215.597
522	15989.525
523	15951.286
524	16749.926
525	16153.831
526	15601.769
527	16280.727
528	16126.51
529	14879.544
530	16086.5
531	16008.737
532	16456.338
533	15448.386
534	16538.67
535	16445.32
536	16369.112
537	16410.824
538	15628.519
539	16603.135
540	15927.3
541	16006.435
542	15626.081
543	16052.411
544	16068.448
545	15795.255
546	15719.516
547	15650.838
548	16336.136
549	15854.391
550	16059.264
551	16193.653
552	16058.859
553	15921.834
554	15382.81
555	15601.275
556	16121.326
557	16704.12
558	15518.143
559	16060.275
560	15943.325
561	16292.99
562	16338.8955
563	16277.516
564	15904.019
565	16048.953
566	16276.578
567	15965.99
568	16262.422
569	16110.706
570	15805.662
571	16031.622
572	15778.268
573	16323.393
574	16410.578
575	15922.219
576	16458.367
577	16389.781
578	16112.269
579	15759.019
580	16184.364
581	15286.995
582	15372.067
583	16081.13
584	16137.924
585	15635.682
586	16565.66
587	15840.314
588	16064.922
589	16061.221
590	15990.014
591	15760.659
592	15688.925
593	16237.927
594	16328.177
595	15790.26
