	z_coordinate_0	z_coordinate_1
0	-4.3268304	-0.13566393
1	-6.474195	-0.48448095
2	-4.967576	0.614279
3	-5.3387837	1.2695013
4	-6.6419425	-0.2807026
5	-7.193941	-1.4333711
6	-7.29476	-0.7531121
7	-5.4641767	-0.3764082
8	-7.2033024	-0.6110197
9	-5.114118	1.0398899
10	-8.071492	-1.1956098
11	-5.851804	0.5793781
12	-5.5977707	0.5992258
13	-7.811458	-1.1010742
14	-6.6684747	-0.801379
15	-5.427311	-0.5811188
16	-6.926902	-0.15095204
17	-5.6150703	0.176694
18	-5.754999	0.13690671
19	-6.242093	0.1491346
20	-6.9013424	-0.53923607
21	-6.214341	-0.37505412
22	-5.548865	0.59719133
23	-5.5407343	0.20254311
24	-4.6667128	-1.444447
25	-7.027364	-0.3882791
26	-5.9970403	-0.028945915
27	-7.3708277	-0.979938
28	-5.2914715	0.4995595
29	-7.0336018	-2.7171762
30	-5.494378	0.3743015
31	-7.038222	-1.994798
32	-4.9387126	1.2154964
33	-5.549673	0.83387613
34	-5.941106	0.6618313
35	-6.4911942	-1.6333406
36	-5.8725977	0.025027908
37	-7.1658945	-0.7796981
38	-5.5950623	0.4680631
39	-5.3496203	0.55773956
40	-5.5799155	0.25066784
41	-5.759708	0.11621074
42	-6.018652	-0.6710816
43	-5.3882513	0.6475938
44	-5.8566246	0.3345652
45	-6.4709444	-0.13022923
46	-6.2025957	0.7401305
47	-6.865059	-0.59636045
48	-6.6034956	-0.2173478
49	-5.7037735	-0.14589757
50	-5.676877	0.2213048
51	-5.5344396	0.23306146
52	-4.4765005	0.40987298
53	-5.751384	0.48754495
54	-5.740465	0.15767446
55	-6.0072103	-0.25526357
56	-5.205345	0.30140713
57	-3.9712572	3.7126014
58	-5.765449	1.0158374
59	-7.1705904	-0.5781401
60	-5.594143	0.3781728
61	-6.1084824	-0.40501437
62	-6.3363523	-0.7853042
63	-5.8072033	0.74965304
64	-5.2943296	0.3548183
65	-5.5189495	0.27642056
66	-6.653718	-0.97855645
67	-6.8693447	-0.59923106
68	-6.6629524	-0.20918858
69	-5.479315	0.42226112
70	-5.6114764	0.1963835
71	-6.7892175	0.013930298
72	-5.4463825	1.0469626
73	-5.3933153	0.16715404
74	-7.075666	-0.5444643
75	-5.8091826	0.34356865
76	-5.1189437	-5.1654186
77	-5.6853037	0.58234066
78	-5.814518	0.6909879
79	-5.1368732	0.0055890456
80	-6.82728	-0.4233711
81	-7.184677	-0.89396876
82	-7.146554	-0.95948917
83	-4.8777494	0.9496194
84	-5.7415066	0.13307771
85	-6.3014364	-0.11075445
86	-5.08136	0.37465698
87	-5.45834	0.47468287
88	-6.43298	-0.14515316
89	-5.523421	0.79881483
90	-5.1225567	0.9044426
91	-5.8048773	0.27574825
92	-6.496802	-0.14563856
93	-5.892614	0.17573759
94	-5.4600983	1.9816511
95	-6.085029	0.38569802
96	-4.700717	0.9591782
97	-6.281229	-0.27678892
98	-6.1521087	0.37529007
99	-6.7506557	-1.4807749
